epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_sensitivity_macro,val_precision_macro,val_count_labels_not_found
1,1.2233,1.1590090990066528,0.35,0.2615368658131816,0.25913461538461535,0.29772727272727273,12
2,1.2388,1.1596132516860962,0.3,0.2707207271960592,0.31153846153846154,0.4129765395894428,12
3,1.0937,1.188700795173645,0.35,0.28459753519311093,0.30625,0.34800420168067225,12
4,0.8986,1.2722431421279907,0.36,0.388081599251812,0.41586538461538464,0.5749389499389499,11
5,0.676,1.4206432104110718,0.5,0.45501373626373626,0.4264423076923077,0.5398841354723707,12
6,0.4838,1.604519009590149,0.53,0.5092186575504569,0.4620192307692308,0.6848905723905724,12
7,0.3469,1.7722392082214355,0.52,0.463997113997114,0.42740384615384613,0.5393055555555556,12
8,0.2084,1.9479249715805054,0.61,0.620249690785405,0.5572115384615385,0.7575098814229249,12
9,0.1389,2.048858404159546,0.49,0.4676689051689052,0.4471153846153846,0.513623876123876,12
10,0.092,2.190324544906616,0.58,0.5136931772948014,0.48509615384615384,0.5614316239316239,12
11,0.068,2.2401065826416016,0.51,0.49035008080371384,0.45961538461538465,0.5335978835978836,12
12,0.0544,2.3317477703094482,0.52,0.5166701848203397,0.49567307692307694,0.5741045321637427,12
13,0.0472,2.416832208633423,0.56,0.5288764871699209,0.4841346153846154,0.6449896480331263,12
14,0.0431,2.391441583633423,0.52,0.5058663558663559,0.4625,0.6020917678812415,12
15,0.043,2.473999500274658,0.54,0.501082251082251,0.4831730769230769,0.5878571428571429,12
16,0.0409,2.4623024463653564,0.56,0.5324049195389273,0.49423076923076925,0.5834368530020704,12
17,0.0396,2.4396166801452637,0.58,0.550737812911726,0.5134615384615384,0.6158866995073892,12
18,0.0335,2.4503555297851562,0.58,0.5704665005537098,0.5317307692307692,0.625514705882353,12
